Domain,Company,Original_Name,PE Firm,Year,Source
3iinfrastructure.com,3i Infrastructure,3i Infrastructure,3i Group companies,Unknown,Wikipedia
accountancyage.com,Accountancy Age,Accountancy Age,3i Group companies,Unknown,Wikipedia
actionstore.com,Action (store),Action (store),3i Group companies,Unknown,Wikipedia
agentprovocateurlingerie.com,Agent Provocateur (lingerie),Agent Provocateur (lingerie),3i Group companies,Unknown,Wikipedia
anglianwater.com,Anglian Water,Anglian Water Group,3i Group companies,Unknown,Wikipedia
bestinvest.com,Bestinvest,Bestinvest,Permira companies,Unknown,Wikipedia
boxertvaccess.com,Boxer TV Access,Boxer TV Access,3i Group companies,Unknown,Wikipedia
britishinternationalhelicopters.com,British International Helicopters,British International Helicopters,3i Group companies,Unknown,Wikipedia
cambridgesemiconductorlimited.com,Cambridge Semiconductor Limited,Cambridge Semiconductor Limited,3i Group companies,Unknown,Wikipedia
cityflyerexpress.com,CityFlyer Express,CityFlyer Express,3i Group companies,Unknown,Wikipedia
earlylearningcentre.com,Early Learning Centre,Early Learning Centre,3i Group companies,Unknown,Wikipedia
emtunga.com,Emtunga,Emtunga,3i Group companies,Unknown,Wikipedia
enterprise.com,Enterprise,Enterprise plc,3i Group companies,Unknown,Wikipedia
eversholtrail.com,Eversholt Rail,Eversholt Rail Group,3i Group companies,Unknown,Wikipedia
fairlineyachts.com,Fairline Yachts,Fairline Yachts,3i Group companies,Unknown,Wikipedia
fosterandpartners.com,Foster and Partners,Foster and Partners,3i Group companies,Unknown,Wikipedia
fotolog.com,Fotolog,Fotolog,3i Group companies,Unknown,Wikipedia
fultonsfoods.com,Fulton's Foods,Fulton's Foods,3i Group companies,Unknown,Wikipedia
giraffeworldkitchen.com,Giraffe World Kitchen,Giraffe World Kitchen,3i Group companies,Unknown,Wikipedia
greatwestern.com,Great Western,Great Western Holdings,3i Group companies,Unknown,Wikipedia
greatermanchestermetrolimited.com,Greater Manchester Metro Limited,Greater Manchester Metro Limited,3i Group companies,Unknown,Wikipedia
grt.com,GRT,GRT Group,3i Group companies,Unknown,Wikipedia
homedcorproducts.com,Home Décor Products,Home Décor Products,3i Group companies,Unknown,Wikipedia
hsshire.com,HSS Hire,HSS Hire,3i Group companies,Unknown,Wikipedia
konarkatechnologies.com,Konarka Technologies,Konarka Technologies,3i Group companies,Unknown,Wikipedia
ldv.com,LDV,LDV Group,3i Group companies,Unknown,Wikipedia
meggitt.com,Meggitt,Meggitt,3i Group companies,Unknown,Wikipedia
nallatech.com,Nallatech,Nallatech,3i Group companies,Unknown,Wikipedia
nationalcarparks.com,National Car Parks,National Car Parks,3i Group companies,Unknown,Wikipedia
pedestalsoftware.com,Pedestal Software,Pedestal Software,3i Group companies,Unknown,Wikipedia
regionalrail.com,"Regional Rail,","Regional Rail, LLC",3i Group companies,Unknown,Wikipedia
scandlines.com,Scandlines,Scandlines,3i Group companies,Unknown,Wikipedia
teknikmagasinet.com,Teknikmagasinet,Teknikmagasinet,3i Group companies,Unknown,Wikipedia
temahome.com,Temahome,Temahome,3i Group companies,Unknown,Wikipedia
thomsondirectories.com,Thomson Directories,Thomson Directories,Apax Partners companies,Unknown,Wikipedia
titanairways.com,Titan Airways,Titan Airways,3i Group companies,Unknown,Wikipedia
travellersfare.com,Travellers Fare,Travellers Fare,3i Group companies,Unknown,Wikipedia
tweakers.com,Tweakers,Tweakers,3i Group companies,Unknown,Wikipedia
vet.com,Vet,Vetco,3i Group companies,Unknown,Wikipedia
wallacearnold.com,Wallace Arnold,Wallace Arnold,3i Group companies,Unknown,Wikipedia
wimpyrestaurant.com,Wimpy (restaurant),Wimpy (restaurant),3i Group companies,Unknown,Wikipedia
americanmachineandfoundry.com,American Machine and Foundry,American Machine and Foundry,American Machine and Foundry,Unknown,Wikipedia
amfbowling.com,AMF Bowling,AMF Bowling,American Machine and Foundry,Unknown,Wikipedia
apaxpartners.com,Apax Partners,Apax Partners,Apax Partners companies,Unknown,Wikipedia
activant.com,Activant,Activant,Apax Partners companies,Unknown,Wikipedia
almcompany.com,ALM (company),ALM (company),Apax Partners companies,Unknown,Wikipedia
amey.com,Amey,Amey plc,Apax Partners companies,Unknown,Wikipedia
answerscom.com,Answers.com,Answers.com,Apax Partners companies,Unknown,Wikipedia
aromacafe.com,Aroma Cafe,The Aroma Cafe,Apax Partners companies,Unknown,Wikipedia
ascential.com,Ascential,Ascential,Apax Partners companies,Unknown,Wikipedia
assuredpartnersnl.com,AssuredPartners NL,AssuredPartners NL,Apax Partners companies,Unknown,Wikipedia
autotrader.com,Auto Trader,Auto Trader Group,Apax Partners companies,Unknown,Wikipedia
balticclassifieds.com,Baltic Classifieds,Baltic Classifieds,Apax Partners companies,Unknown,Wikipedia
bankrate.com,Bankrate,Bankrate,Apax Partners companies,Unknown,Wikipedia
bazookachewinggum.com,Bazooka (chewing gum),Bazooka (chewing gum),Apax Partners companies,Unknown,Wikipedia
bezeq.com,Bezeq,Bezeq,Apax Partners companies,Unknown,Wikipedia
boats.com,Boats,Boats Group,Permira companies,Unknown,Wikipedia
boatscom.com,Boats.com,Boats.com,Apax Partners companies,Unknown,Wikipedia
bobsdiscountfurniture.com,Bob's Discount Furniture,Bob's Discount Furniture,Bain Capital companies,Unknown,Wikipedia
bristoltechnology.com,Bristol Technology,Bristol Technology,Apax Partners companies,Unknown,Wikipedia
